Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior,full_day_discount_eur (metadata),booked_seats (metadata),max_seats (metadata),time_label (metadata),time_label_afternoon (metadata),time_label_morning (metadata),week (metadata),slot (metadata),discount (metadata)
"price_1Sb3vGLfuetgq9oVj1N6Dbb0","prod_TYAFOUlVghdyuV","Animation studio: Stop-Motion","","","Afternoon 10% Discount","2025-12-05 18:40:06","178,20","eur","","","","","per_unit","","unspecified","100","0","12","13:00–16:00","13:00–16:00","","1","afternoon","disc10"
"price_1Sb3vGLfuetgq9oVFdRgH0pU","prod_TYAFOUlVghdyuV","Animation studio: Stop-Motion","","","Afternoon Full Price","2025-12-05 18:40:06","198,00","eur","","","","","per_unit","","unspecified","100","0","12","13:00–16:00","13:00–16:00","","1","afternoon","full"
"price_1Sb3vGLfuetgq9oVLHqlkS7T","prod_TYAFlhnrvgxLpF","Digitales Zeichnen: Grafikdesign & Illustration","","","Morning 10% Discount","2025-12-05 18:40:06","178,20","eur","","","","","per_unit","","unspecified","100","0","12","09:30–12:30","","09:30–12:30","1","morning","disc10"
"price_1Sb3vFLfuetgq9oVosyJ7Zmd","prod_TYAFlhnrvgxLpF","Digitales Zeichnen: Grafikdesign & Illustration","","","Morning Full Price","2025-12-05 18:40:05","198,00","eur","","","","","per_unit","","unspecified","100","0","12","09:30–12:30","","09:30–12:30","1","morning","full"
"price_1Sb3vFLfuetgq9oVRcxK9qQu","prod_TYAFbdkjXzlupy","Digitales Zeichnen: 3D & Design","","","Morning 10% Discount","2025-12-05 18:40:05","178,20","eur","","","","","per_unit","","unspecified","100","0","12","09:30–12:30","","09:30–12:30","1","morning","disc10"
"price_1Sb3vFLfuetgq9oVDxOqhizH","prod_TYAFbdkjXzlupy","Digitales Zeichnen: 3D & Design","","","Morning Full Price","2025-12-05 18:40:05","198,00","eur","","","","","per_unit","","unspecified","100","0","12","09:30–12:30","","09:30–12:30","1","morning","full"
"price_1Sb3vELfuetgq9oV441Qszmv","prod_TYAFUAhYQXQtgP","Manga & Comics: Storytelling","","","Morning 10% Discount","2025-12-05 18:40:04","178,20","eur","","","","","per_unit","","unspecified","100","0","12","09:30–12:30","","09:30–12:30","1","morning","disc10"
"price_1Sb3vELfuetgq9oVv5DHjLO6","prod_TYAFUAhYQXQtgP","Manga & Comics: Storytelling","","","Morning Full Price","2025-12-05 18:40:04","198,00","eur","","","","","per_unit","","unspecified","100","0","12","09:30–12:30","","09:30–12:30","1","morning","full"
"price_1Sb3vELfuetgq9oVNqvXu8GL","prod_TYAFUAhYQXQtgP","Manga & Comics: Storytelling","","","Afternoon 10% Discount","2025-12-05 18:40:04","178,20","eur","","","","","per_unit","","unspecified","100","0","12","13:00–16:00","13:00–16:00","","1","afternoon","disc10"
"price_1Sb3vDLfuetgq9oV0xQHArTf","prod_TYAFUAhYQXQtgP","Manga & Comics: Storytelling","","","Afternoon Full Price","2025-12-05 18:40:03","198,00","eur","","","","","per_unit","","unspecified","100","0","12","13:00–16:00","13:00–16:00","","1","afternoon","full"
"price_1Sb3vDLfuetgq9oVswfpv9MS","prod_TYAFrDVQ3BkdTW","Fashion Design: Moodboards & Styling","","","Morning 10% Discount","2025-12-05 18:40:03","178,20","eur","","","","","per_unit","","unspecified","100","0","12","09:30–12:30","","09:30–12:30","1","morning","disc10"
"price_1Sb3vDLfuetgq9oVEyArgpAv","prod_TYAFrDVQ3BkdTW","Fashion Design: Moodboards & Styling","","","Morning Full Price","2025-12-05 18:40:03","198,00","eur","","","","","per_unit","","unspecified","100","0","12","09:30–12:30","","09:30–12:30","1","morning","full"